Week,Chipotle,Five Guys,Halal Guys,McDonalds,Panera Bread,Shake Shack,Taco Bell,Texas Roadhouse
2017-09-24,65,73,74,55,88,46,61,48
2017-10-01,66,75,74,75,87,46,68,47
2017-10-08,61,75,71,65,91,100,66,48
2017-10-15,64,79,79,57,90,60,62,48
2017-10-22,67,77,75,57,91,53,64,47
2017-10-29,84,76,59,55,90,51,71,49
2017-11-05,64,75,65,56,97,52,57,66
2017-11-12,59,71,72,57,90,48,56,55
2017-11-19,52,73,68,66,76,49,66,55
2017-11-26,58,70,63,54,82,50,59,47
2017-12-03,58,73,64,54,88,53,57,52
2017-12-10,56,74,66,52,88,64,55,57
2017-12-17,60,82,75,55,92,63,62,70
2017-12-24,61,86,91,87,88,67,79,84
2017-12-31,65,84,70,68,92,56,76,80
2018-01-07,58,74,68,59,89,50,66,60
2018-01-14,59,75,76,59,91,58,61,66
2018-01-21,59,77,72,57,91,48,81,61
2018-01-28,60,75,60,56,95,51,80,62
2018-02-04,58,74,70,55,83,57,64,57
2018-02-11,62,82,70,57,86,53,63,84
2018-02-18,62,89,75,58,90,59,65,71
2018-02-25,66,83,74,65,90,51,62,66
2018-03-04,61,85,78,64,87,54,59,64
2018-03-11,60,85,68,59,86,58,62,62
2018-03-18,62,85,84,57,91,65,66,63
2018-03-25,62,92,83,66,88,71,69,66
2018-04-01,69,90,76,61,93,65,70,66
2018-04-08,61,82,72,59,84,56,67,58
2018-04-15,63,82,72,59,89,65,68,60
2018-04-22,73,80,74,59,91,69,68,57
2018-04-29,73,81,70,59,89,69,71,55
2018-05-06,84,80,78,60,90,59,67,58
2018-05-13,68,78,78,61,90,60,65,68
2018-05-20,67,88,77,62,89,63,67,53
2018-05-27,68,90,82,66,87,64,69,58
2018-06-03,79,85,76,65,90,71,72,53
2018-06-10,68,90,86,66,89,74,80,62
2018-06-17,68,86,87,65,86,71,75,71
2018-06-24,74,90,87,67,88,72,79,58
2018-07-01,73,97,94,72,83,81,88,64
2018-07-08,70,83,81,68,90,68,82,54
2018-07-15,69,88,84,73,91,70,81,59
2018-07-22,69,87,84,82,90,69,80,59
2018-07-29,100,86,81,76,97,75,76,57
2018-08-05,71,87,80,71,95,72,73,58
2018-08-12,79,85,79,65,92,65,73,57
2018-08-19,69,89,68,64,88,68,75,54
2018-08-26,63,83,72,63,85,65,76,51
2018-09-02,66,79,73,62,85,65,73,57
2018-09-09,60,76,72,59,88,55,69,48
2018-09-16,63,86,75,61,91,63,74,51
2018-09-23,65,80,73,62,95,57,72,52
2018-09-30,70,78,65,65,92,60,77,54
2018-10-07,66,81,65,66,96,65,71,55
2018-10-14,66,84,70,64,100,92,70,58
2018-10-21,65,78,67,65,95,74,77,54
2018-10-28,90,80,76,64,91,62,83,56
2018-11-04,65,78,66,62,93,64,67,60
2018-11-11,67,78,71,60,96,91,67,76
2018-11-18,67,80,71,73,77,72,75,60
2018-11-25,63,78,66,59,89,60,72,50
2018-12-02,65,80,72,60,93,62,71,56
2018-12-09,64,84,73,59,96,69,67,65
2018-12-16,68,85,83,61,97,82,71,72
2018-12-23,77,99,92,100,88,97,94,99
2018-12-30,95,99,87,80,98,89,96,100
2019-01-06,78,78,75,60,97,73,78,68
2019-01-13,74,84,71,67,94,68,73,64
2019-01-20,71,81,73,60,99,66,73,68
2019-01-27,70,81,66,60,98,69,74,64
2019-02-03,74,82,73,61,91,62,73,64
2019-02-10,71,94,76,60,93,68,75,96
2019-02-17,75,93,68,63,98,73,81,76
2019-02-24,73,89,76,60,95,66,76,74
2019-03-03,70,88,79,62,91,66,81,71
2019-03-10,77,92,81,64,89,74,77,74
2019-03-17,74,89,81,65,89,83,76,72
2019-03-24,76,94,81,67,91,86,74,70
2019-03-31,88,91,86,65,90,77,77,67
2019-04-07,78,87,88,63,88,82,76,64
2019-04-14,77,91,88,64,90,81,79,68
2019-04-21,83,94,83,67,91,76,82,67
2019-04-28,80,89,81,66,91,79,81,63
2019-05-05,91,86,90,66,88,76,79,71
2019-05-12,74,88,100,67,91,78,92,82
2019-05-19,77,93,88,67,91,91,99,65
2019-05-26,82,100,95,72,85,90,97,68
2019-06-02,95,88,95,73,89,88,93,62
2019-06-09,80,95,92,78,88,89,93,70
2019-06-16,76,91,87,76,88,86,100,79
2019-06-23,80,92,90,83,92,89,96,66
2019-06-30,78,98,91,79,82,93,99,68
2019-07-07,76,85,87,74,88,82,94,61
2019-07-14,76,94,88,75,90,91,95,64
2019-07-21,80,95,87,76,91,90,95,66
2019-07-28,86,92,83,74,89,97,92,67
2019-08-04,82,92,78,69,90,98,90,65
2019-08-11,73,89,78,71,91,87,91,65
2019-08-18,71,82,92,67,86,94,87,65
2019-08-25,68,84,82,66,82,82,85,59
2019-09-01,68,77,77,66,77,75,82,61
2019-09-08,68,76,72,61,84,67,79,54
2019-09-15,73,80,77,62,87,67,86,58
2019-09-22,76,82,71,63,90,65,87,59
Week,,Five Guys: (United States),The Halal Guys: (United States),McDonald's: (United States),Panera Bread: (United States),Shake Shack: (United States),Taco Bell: (United States),Texas Roadhouse: (United States)
