,Unnamed: 0,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income,Pop Growth,Income Growth,Pop Growth %,Income Growth %
121,121,"Jacksonville, FL Metro Area",1349130,52881,1447884,56449,98754,3568,6.820574023885892,6.7472249011932455
139,139,"Kansas City, MO-KS Metro Area",2035166,56826,2088830,61479,53664,4653,2.569093703173547,8.188153310104529
247,247,"Milwaukee-Waukesha-West Allis, WI Metro Area",1554593,53966,1575101,57531,20508,3565,1.3020117440087968,6.606011192232146
249,249,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3290811,66751,3526149,73735,235338,6984,6.674079853120217,10.462764602777487
387,387,"Columbus, OH Metro Area",1840267,54628,2023695,60170,183428,5542,9.064014093032794,10.144980596031338
407,407,"Dallas-Fort Worth-Arlington, TX Metro Area",6400781,58190,7104415,63870,703634,5680,9.904179302588602,9.761127341467606
534,534,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1674571,59293,1717708,61889,43137,2596,2.511311584972533,4.378257129846694
546,546,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5603696,89826,6090196,97148,486500,7322,7.988248654066306,8.15131476409948
588,588,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1595454,52779,1830410,59365,234956,6586,12.836249801956939,12.478447867523068
615,615,"Oklahoma City, OK Metro Area",1256947,49534,1353504,54946,96557,5412,7.133854055843204,10.92582872370493
621,621,"Orlando-Kissimmee-Sanford, FL Metro Area",2147534,49263,2390859,52261,243325,2998,10.177304475086151,6.085703266142947
646,646,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5967349,61927,6065644,66285,98295,4358,1.6205204261905248,7.037318132640044
651,651,"Pittsburgh, PA Metro Area",2357981,50182,2348143,56073,-9838,5891,-0.4189693728192874,11.739269060619344
665,665,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232607,57896,2382037,66657,149430,8761,6.273202305421788,15.132306204228271
688,688,"Riverside-San Bernardino-Ontario, CA Metro Area",4234011,55928,4476222,59173,242211,3245,5.411058700841916,5.802102703475898
711,711,"St. Louis, MO-IL Metro Area",2810367,54109,2804998,59046,-5369,4937,-0.19140833612002575,9.124175275832117
719,719,"San Antonio-New Braunfels, TX Metro Area",2149153,51208,2377507,56495,228354,5287,9.604766673662791,10.324558662708952
721,721,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1843860,89940,1969897,105809,126037,15869,6.398151781539847,17.643984878808094
731,731,"Seattle-Tacoma-Bellevue, WA Metro Area",3453748,67437,3735216,77269,281468,9832,7.5355213727934345,14.579533490517074
786,786,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2793814,46606,2978209,50567,184395,3961,6.191472794555385,8.498905720293525
